DNI,41455603,Carlos,Pérez,1974-12-30,Av. Pellegrini 1420 - Rosario,A,AB,+,true
DNI,24682115,María,Gómez,2003-01-14,Calle San Martín 450 - Santa Fe,A,A,-,true
DNI,20999828,Juan,Rodríguez,1974-03-16,Bv. Gálvez 2100 - Santa Fe,B,B,+,true
DNI,44025631,Ana,Martínez,1999-02-25,Salta 3200 - Rosario,F,O,+,false
DNI,39772475,Luis,Fernández,1982-06-24,9 de Julio 870 - Córdoba,G,A,+,false
DNI,31416912,Sofía,López,1982-06-19,Facundo Zuviría 4500 - Santa Fe,B,B,-,true
DNI,23112034,Pedro,Álvarez,1987-01-16,General Paz 6300 - Santa Fe,A,AB,-,false
DNI,21457954,Lucía,Díaz,2002-09-25,Suipacha 2400 - Rosario,D,A,-,true
DNI,38523409,Marcos,Juárez,1983-02-25,Urquiza 1250 - Buenos Aires,G,AB,+,true
DNI,21537611,Valentina,Herrera,1999-08-31,Belgrano 500 - Córdoba,B,AB,+,true
DNI,23389045,Jorge,Giménez,1987-01-19,San Martín 1800 - Mendoza,C,O,-,true
DNI,32421212,Laura,Castro,1985-12-08,Alvear 920 - San Miguel de Tucumán,B,AB,+,true
DNI,37922760,Mateo,Romero,2002-09-16,Mitre 410 - Salta,B,B,-,false
DNI,29057945,Elena,Sanz,1998-09-16,Rivadavia 3400 - Paraná,F,B,-,true
DNI,27685577,Diego,Torres,1971-06-10,Corrientes 1500 - Buenos Aires,G,AB,-,false
DNI,22220921,Camila,Ruiz,1979-06-19,Mendoza 120 - Santa Fe,E,AB,+,false
DNI,33275203,Martín,Ramírez,1998-11-02,Sarmiento 900 - Rosario,D,B,-,true
DNI,28275445,Micaela,Sosa,2003-06-02,Las Heras 450 - Córdoba,E,AB,-,false
DNI,32146585,Franco,Quiroga,1979-11-03,Ayacucho 1100 - Santa Fe,B,O,+,true
DNI,23679214,Agustina,Suárez,1976-11-09,Chacabuco 800 - Mendoza,F,B,-,true
DNI,32910648,Facundo,Medina,1987-02-13,Lavalle 300 - Rosario,E,O,-,true
DNI,42826523,Paula,Aguirre,2002-05-01,Moreno 700 - Santa Fe,A,AB,-,true
DNI,29848230,Joaquín,Benítez,1989-07-03,Paso 250 - Paraná,B,O,+,false
DNI,36796882,Julieta,Ríos,2004-03-06,Larrea 550 - Buenos Aires,B,A,-,true
DNI,25128434,Tomás,Molina,1986-10-10,Alberdi 1050 - Santa Fe,G,B,+,false
DNI,36394887,Florencia,Silva,1970-11-16,Av. Freyre 2200 - Santa Fe,A,AB,-,true
DNI,21943646,Emiliano,Navarro,1980-10-21,Aristóbulo del Valle 5600 - Santa Fe,E,A,+,false
DNI,22322386,Victoria,Vargas,2004-02-13,Estanislao Zeballos 3200 - Santa Fe,E,B,+,false
DNI,38448347,Gonzalo,Rojas,1977-05-29,Av. Aristóbulo del Valle 4000 - Santa Fe,C,O,+,true
DNI,43922597,Martina,Cruz,1983-12-26,Bv. Pellegrini 2800 - Santa Fe,D,AB,-,false
